Molecule,SMILES,Rotors,Conformers,ElapsedTime(s),Status
"MOL0074",COc1c(cc(cn1)C(=O)C(=O)N2CC[C@H](C2)O)C(=O)N3CCn4c(cnc4c5ccc(cc5)F)C3,7,200,0.09
"MOL0075",COc1c(cc(cn1)C(=O)N2CC[C@H](C2)O)C(=O)N3CCn4c(cnc4c5ccc(cc5)F)C3,6,200,0.08
"MOL0076",COn1cnc2c1cc(c(c2)C(=O)C(=O)N3CC[C@H](C3)O)[N@]4CCc5c(cnn5c6ccc(cc6F)F)C4,6,200,0.14
"MOL0077",COc1c(cc2c(n1)cc([nH]2)C(=O)N3CC[C@H](C3)O)C(=O)n4c[nH+]cc4c5ccc(cc5F)F,6,200,0.11
"MOL0078",COc1c2c(cc([nH]2)C(=O)C(=O)N3CCn4cncc4C3)c(cn1)C(=O)N5CC[C@H](C5)O,6,200,0.08
"MOL0079",COc1c(cc(cn1)[N-]C(=O)N2CC[C@H](C2)O)C(=O)N3CCn4c(cnc4c5ccc(cc5)F)C3,7,200,0.23
"MOL0080",COc1c(cc2c(=O)c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)N4CCC(CC4)c5c[nH]c6c5ccc(c6)F,6,200,0.08
"MOL0081",COc1c(cc2c(n1)c(c[nH]2)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCN(CC4)c5ccc(cc5F)F,7,200,0.13
"MOL0082",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)c4ccnn4C(=O)[N-]c5ccc(cc5F)F,8,200,0.15
"MOL0083",COc1c(cc(cn1)C(=O)N2CC[C@H](C2)O)C(=O)C(=O)N3CCn4c(cnc4c5ccc(cc5)F)C3,7,200,0.10
"MOL0084",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)N4CCn5c(cnc5c6ccc(cc6F)F)C4,6,200,0.09
"MOL0085",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCN(CC4)c5ccccc5F,7,200,0.13
"MOL0086",COc1c(c2cc(c(cc2[nH]1)F)C(=O)N3CC[C@H](C3)O)C(=O)N4CCn5c(cnc5c6ccc(cc6)F)C4,6,200,0.10
"MOL0087",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCn5cnc(c5C4)c6ccc(cc6F)F,7,200,0.11
"MOL0088",COc1[nH]c2ccc(cc2n1)OC(=O)C(=O)N3CC[C@H](C3)O,5,200,0.06
"MOL0089",COc1c(cc(c(n1)O)C(=O)N2CC[C@H](C2)O)C(=O)c3c(c4ncc(n4cn3)c5ccc(cc5)F)CF,7,200,0.16
"MOL0090",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCn5c(cnc5c6ccc(cc6)F)C4,7,200,0.10
